References	Qty	Description	Manufacturer	MPN	Digikey	Mouser	RS	Newark	Farnell
LED1	1	LED 0603	Rohm	SML-D12Y8WT86	511-1582-1-ND	5988150107F	7008023	75R0585	1465989
C1, C2, C3	3	0.1UF 25V 0603	AVX	06033C104KAT2A	478-3714-1-ND	58106033C104JAT2A	4646379	47Y9715	317287
R1	1	Resistor 10k 0603	Vishay	MCT0603MD1001BP100	MCT0603-10K-MBCT-ND	594MCT0603MD1002BP1	6845604	15R2055	2321085
R2	1	Resistor 1.8k 0603	Panasonic	ERJ-3EKF1801V	P1.80KHCT-ND	279CPF0603B1K8E1	8206782	80P3903	1697379
R3, R4	2	Resistor 4.7k 0603	Yageo	RC0603FR-074K7L	311-4.70KHRCT-ND	667ERJP03F4701V	8206865	24T7159	2281415
U1	1	ATMEGA328 TQFP32	Atmel	ATMEGA328P-AU	ATMEGA328P-AU-ND	556ATMEGA328PAU	6963092	68T2935	1715486
J1	1	Battery contact, negative	KEYSTONE	629	36-629-ND	534629	2050057	98B5924	1696977
J2	1	Battery contact, positive	KEYSTONE	637	36-637-ND	534637	3670602	99H8361	
U3	1	8 Mhz resonator	Murata	CSTCE8M00G52-R0	490-5994-1-ND	81CSTCE8M00G52R0	7214824	87X8659	2443268
U2	1	RFM69CW module from eBay		RFM69CW					
